Sample_ID,Composition,Synthesis_Method,Synthesis_Date,Operator,Purity_Mg_Percent,Purity_Fe_Percent,Crucible_Material,Atmosphere,Max_Temperature_C,Cooling_Rate_K_min,Annealing_Temperature_C,Annealing_Time_hours,Final_Mass_g,Color_Appearance,Crystal_Structure_XRD,Lattice_Parameters_a_b_c,Density_g_cm3,Resistivity_300K_ohm_cm,Resistivity_77K_ohm_cm,Resistivity_4K_ohm_cm,Tc_onset_K,Tc_zero_K,Tc_midpoint_K,Critical_Field_Hc1_T,Critical_Field_Hc2_T,Magnetic_Susceptibility_emu_g,Heat_Capacity_Jump_J_molK,Isotope_Effect_alpha,Phonon_Frequencies_cm,EPC_Lambda,Notes,Data_Quality,Review_Status,Publication_Ready
MgFe-001,Mg50Fe50,Arc_Melting,2024-01-15,J.Smith,99.9,99.95,Tungsten,Argon,1800,1.0,800,24,2.45,Dark_Gray,Cubic,4.02_4.02_4.02,4.2,0.025,0.018,0.0,42.3,41.8,42.0,0.05,15.2,0.95,125,0.45,420-450,0.72,Clean_transition_sharp_onset,Excellent,Approved,Yes
MgFe-002,Mg67Fe33,Arc_Melting,2024-01-16,J.Smith,99.9,99.95,Tungsten,Argon,1750,1.0,750,24,1.85,Light_Gray,Layered,5.25_5.25_8.60,3.8,0.032,0.024,0.0,38.7,38.1,38.4,0.04,12.8,0.88,108,0.48,400-430,0.65,Broad_transition_multiple_phases,Good,Under_Review,No
MgFe-003,Mg33Fe67,Arc_Melting,2024-01-17,M.Jones,99.9,99.95,Tungsten,Argon,1850,0.5,850,48,3.12,Dark_Metal,Ordered,5.00_5.00_4.20,5.1,0.021,0.015,0.0,40.1,39.5,39.8,0.06,18.5,0.92,142,0.43,440-470,0.78,Sharp_transition_good_shielding,Excellent,Approved,Yes
MgFe-004,Mg75Fe25,Induction_Melting,2024-01-18,M.Jones,99.8,99.95,Alumina,Argon,1700,2.0,700,12,1.95,Silver_Gray,Complex,6.15_6.15_6.15,3.2,0.045,0.038,0.0,35.2,34.6,34.9,0.03,9.8,0.75,89,0.52,380-410,0.58,Weak_transition_needs_optimization,Fair,Needs_Revision,No
MgFe-005,Mg50Fe50,Powder_Metallurgy,2024-01-19,A.Kumar,99.95,99.98,Graphite,Vacuum,1200,10.0,900,72,2.38,Black_Powder,Nanocrystalline,3.98_3.98_3.98,4.0,0.055,0.048,0.002,28.5,27.8,28.1,0.02,6.2,0.45,65,0.55,390-420,0.48,Granular_weak_connectivity,Poor,Rejected,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPLATE_ENTRY,MgXFeY,Synthesis_Method,YYYY-MM-DD,Operator_Name,Purity_%,Purity_%,Crucible_Type,Atmosphere_Type,Temperature_C,Rate_K_per_min,Temperature_C,Time_hours,Mass_grams,Visual_Description,Structure_Type,a_b_c_Angstrom,Density_measured,Room_temp_resistivity,LN2_temp_resistivity,Helium_temp_resistivity,Onset_temperature,Zero_resistance_temp,Midpoint_temp,Lower_critical_field,Upper_critical_field,Chi_measurement,Cp_jump_measurement,Alpha_isotope,Frequency_range,Lambda_measured,Detailed_observations,Excellent_Good_Fair_Poor,Approved_Under_Review_Needs_Revision_Rejected,Yes_No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTRUCTIONS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_ID:,Unique identifier for each sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Composition:,MgXFeY format with atomic percentages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synthesis_Method:,Arc_Melting / Induction_Melting / Powder_Metallurgy / Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synthesis_Date:,YYYY-MM-DD format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator:,Name of person conducting synthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purity_Mg_Percent:,Starting material purity for Mg (e.g. 99.9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purity_Fe_Percent:,Starting material purity for Fe (e.g. 99.95),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crucible_Material:,Tungsten / Alumina / Graphite / Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atmosphere:,Argon / Vacuum / Air / Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max_Temperature_C:,Maximum synthesis temperature in Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooling_Rate_K_min:,Cooling rate in Kelvin per minute (CRITICAL: Use 1.0 K/min for RBT phase),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annealing_Temperature_C:,Post-synthesis annealing temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annealing_Time_hours:,Duration of annealing in hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final_Mass_g:,Final sample mass in grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color_Appearance:,Visual description of final sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal_Structure_XRD:,X-ray diffraction determined structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lattice_Parameters_a_b_c:,Unit cell parameters in Angstrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density_g_cm3:,Measured density in g/cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resistivity_300K_ohm_cm:,Electrical resistivity at room temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resistivity_77K_ohm_cm:,Electrical resistivity at liquid nitrogen temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resistivity_4K_ohm_cm:,Electrical resistivity at liquid helium temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tc_onset_K:,Superconducting transition onset temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tc_zero_K:,Zero resistance temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tc_midpoint_K:,Midpoint of superconducting transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical_Field_Hc1_T:,Lower critical field in Tesla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical_Field_Hc2_T:,Upper critical field in Tesla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetic_Susceptibility_emu_g:,Magnetic susceptibility measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat_Capacity_Jump_J_molK:,Specific heat jump at Tc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isotope_Effect_alpha:,Isotope effect exponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phonon_Frequencies_cm:,Measured phonon frequency range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPC_Lambda:,Electron-phonon coupling constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,Detailed observations and comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data_Quality:,Excellent / Good / Fair / Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review_Status:,Approved / Under_Review / Needs_Revision / Rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publication_Ready:,Yes / No - Ready for publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRITICAL_PARAMETERS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expected_Tc_Range:,35-45 K based on theoretical predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Required_Cooling_Rate:,1.0 K/min for optimal RBT phase formation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purity_Requirements:,>99.9% to avoid oxide contamination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Testing_Temperature_Range:,Measure resistivity from 300K down to 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expected_Structure:,Cubic or layered phases most promising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interface_Effects:,Superconductivity may be enhanced at grain boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pressure_Sensitivity:,Test under slight compression if ambient fails,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
