final_rank,reduced_formula,superconductor_ranking,best_rbt_score,best_tc_estimate,best_tau_valence,best_kappa_curvature,best_phase_locking,best_prototype,structure_quality,n_elements
1,LaTi3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,rocksalt,1.0000,2
2,LaFe3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,rocksalt,1.0000,2
3,CeTi3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,rocksalt,1.0000,2
4,CeFe3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,rocksalt,1.0000,2
5,NdTi3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,rocksalt,1.0000,2
6,NdFe3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,rocksalt,1.0000,2
7,PrTi3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,rocksalt,1.0000,2
8,PrFe3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,rocksalt,1.0000,2
9,GdTi3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,rocksalt,1.0000,2
10,GdFe3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,rocksalt,1.0000,2
11,DyTi3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,rocksalt,1.0000,2
12,DyFe3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,rocksalt,1.0000,2
13,EuTi3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,rocksalt,1.0000,2
14,EuFe3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,rocksalt,1.0000,2
15,TbTi3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,rocksalt,1.0000,2
16,TbFe3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,rocksalt,1.0000,2
17,LaTi2,1.5327,0.5866,30.9703,0.3333,0.0000,0.0000,rocksalt,1.0000,2
18,LaFe2,1.5327,0.5866,30.9703,0.3333,0.0000,0.0000,rocksalt,1.0000,2
19,CeTi2,1.5327,0.5866,30.9703,0.3333,0.0000,0.0000,rocksalt,1.0000,2
20,CeFe2,1.5327,0.5866,30.9703,0.3333,0.0000,0.0000,rocksalt,1.0000,2
21,NdTi2,1.5327,0.5866,30.9703,0.3333,0.0000,0.0000,rocksalt,1.0000,2
22,NdFe2,1.5327,0.5866,30.9703,0.3333,0.0000,0.0000,rocksalt,1.0000,2
23,PrTi2,1.5327,0.5866,30.9703,0.3333,0.0000,0.0000,rocksalt,1.0000,2
24,PrFe2,1.5327,0.5866,30.9703,0.3333,0.0000,0.0000,rocksalt,1.0000,2
25,GdTi2,1.5327,0.5866,30.9703,0.3333,0.0000,0.0000,rocksalt,1.0000,2
26,GdFe2,1.5327,0.5866,30.9703,0.3333,0.0000,0.0000,rocksalt,1.0000,2
27,DyTi2,1.5327,0.5866,30.9703,0.3333,0.0000,0.0000,rocksalt,1.0000,2
28,DyFe2,1.5327,0.5866,30.9703,0.3333,0.0000,0.0000,rocksalt,1.0000,2
29,EuTi2,1.5327,0.5866,30.9703,0.3333,0.0000,0.0000,rocksalt,1.0000,2
30,EuFe2,1.5327,0.5866,30.9703,0.3333,0.0000,0.0000,rocksalt,1.0000,2
31,TbTi2,1.5327,0.5866,30.9703,0.3333,0.0000,0.0000,rocksalt,1.0000,2
32,TbFe2,1.5327,0.5866,30.9703,0.3333,0.0000,0.0000,rocksalt,1.0000,2
33,La2Ti3,1.5049,0.5681,29.0493,0.4000,0.0000,0.0000,rocksalt,1.0000,2
34,La2Fe3,1.5049,0.5681,29.0493,0.4000,0.0000,0.0000,rocksalt,1.0000,2
35,Ce2Ti3,1.5049,0.5681,29.0493,0.4000,0.0000,0.0000,rocksalt,1.0000,2
36,Ce2Fe3,1.5049,0.5681,29.0493,0.4000,0.0000,0.0000,rocksalt,1.0000,2
37,Nd2Ti3,1.5049,0.5681,29.0493,0.4000,0.0000,0.0000,rocksalt,1.0000,2
38,Nd2Fe3,1.5049,0.5681,29.0493,0.4000,0.0000,0.0000,rocksalt,1.0000,2
39,Pr2Ti3,1.5049,0.5681,29.0493,0.4000,0.0000,0.0000,rocksalt,1.0000,2
40,Pr2Fe3,1.5049,0.5681,29.0493,0.4000,0.0000,0.0000,rocksalt,1.0000,2
41,Gd2Ti3,1.5049,0.5681,29.0493,0.4000,0.0000,0.0000,rocksalt,1.0000,2
42,Gd2Fe3,1.5049,0.5681,29.0493,0.4000,0.0000,0.0000,rocksalt,1.0000,2
43,Dy2Ti3,1.5049,0.5681,29.0493,0.4000,0.0000,0.0000,rocksalt,1.0000,2
